Tray,Well,Coral,Date,Treatment code,Treatment,Concentration,Replicate,Directed,Crawling,Not moving,Zombie,Attached/Settled,Total
1,A1,CNAT,11012021,CW,Water control,100,1,10,0,0,0,0,10
1,A2,CNAT,11012021,CW,Water control,100,2,8,0,0,0,2,10
1,A3,CNAT,11012021,CW,Water control,100,3,10,0,0,0,0,10
1,B1,CNAT,11012021,EW,CCA exudate,100,1,0,0,0,1,9,10
1,B2,CNAT,11012021,EW,CCA exudate,100,2,5,0,0,0,5,10
1,B3,CNAT,11012021,EW,CCA exudate,100,3,2,0,0,0,8,10
2,A1,CNAT,11012021,CW,Water control,100,4,10,0,0,0,0,10
2,A2,CNAT,11012021,EW,CCA exudate,100,4,1,0,0,0,9,10
2,A3,CNAT,11012021,FC,Fire coral,100,4,0,0,0,0,10,10
2,B1,CNAT,11012021,CW,Water control,100,5,10,0,0,0,0,10
2,B2,CNAT,11012021,EW,CCA exudate,100,5,3,0,0,0,7,10
2,B3,CNAT,11012021,FC,Fire coral,100,5,1,0,0,0,9,10
3,A1,CNAT,11012021,FC,Fire coral,100,1,1,0,0,0,9,10
3,A2,CNAT,11012021,FC,Fire coral,100,2,1,0,0,0,9,10
3,A3,CNAT,11012021,FC,Fire coral,100,3,3,0,0,0,6,9
3,B1,CNAT,11012021,FH,Fire Coral X CCA,100,1,3,0,0,0,7,10
3,B2,CNAT,11012021,FH,Fire Coral X CCA,100,2,4,0,0,0,6,10
3,B3,CNAT,11012021,FH,Fire Coral X CCA,100,3,4,0,0,0,6,10
4,A1,CNAT,11012021,FH,Fire Coral X CCA,100,4,1,0,0,0,9,10
4,A2,CNAT,11012021,PC,PPL control,100,4,8,0,0,0,2,10
4,A3,CNAT,11012021,EP,PPL,1000,4,0,0,0,0,10,10
4,B1,CNAT,11012021,FH,Fire Coral X CCA,100,5,0,0,0,0,10,10
4,B2,CNAT,11012021,PC,PPL control,100,5,10,0,0,0,0,10
4,B3,CNAT,11012021,EP,PPL,1000,5,0,0,0,0,10,10
5,A1,CNAT,11012021,PC,PPL control,100,1,5,0,0,0,1,6
5,A2,CNAT,11012021,PC,PPL control,100,2,7,0,0,0,3,10
5,A3,CNAT,11012021,PC,PPL control,100,3,10,0,0,0,0,10
5,B1,CNAT,11012021,EP,PPL,1000,1,0,0,0,0,10,10
5,B2,CNAT,11012021,EP,PPL,1000,2,0,0,0,0,10,10
5,B3,CNAT,11012021,EP,PPL,1000,3,0,0,0,0,10,10
6,A1,CNAT,11012021,HC,HLB control,100,1,4,0,0,0,6,10
6,A2,CNAT,11012021,HC,HLB control,100,2,8,0,0,0,2,10
6,A3,CNAT,11012021,HC,HLB control,100,3,10,0,0,0,0,10
6,B1,CNAT,11012021,EH,HLB,1000,1,6,0,0,0,4,10
6,B2,CNAT,11012021,EH,HLB,1000,2,6,0,0,0,3,9
6,B3,CNAT,11012021,EH,HLB,1000,3,7,0,0,0,3,10
7,A1,CNAT,11012021,HC,HLB control,100,4,9,0,0,0,1,10
7,A2,CNAT,11012021,EH,HLB,1000,4,10,0,0,0,0,10
7,A3,CNAT,11012021,CC,C18 control,100,4,8,0,0,0,2,10
7,B1,CNAT,11012021,HC,HLB control,100,5,9,0,0,0,1,10
7,B2,CNAT,11012021,EH,HLB,1000,5,7,0,0,0,3,10
7,B3,CNAT,11012021,CC,C18 control,100,5,8,0,0,0,2,10
8,A1,CNAT,11012021,CC,C18 control,100,1,6,0,0,0,4,10
8,A2,CNAT,11012021,CC,C18 control,100,2,7,0,0,0,3,10
8,A3,CNAT,11012021,CC,C18 control,100,3,10,0,0,0,0,10
8,B1,CNAT,11012021,EC,C18,1000,1,0,0,0,0,10,10
8,B2,CNAT,11012021,EC,C18,1000,2,2,0,0,0,8,10
8,B3,CNAT,11012021,EC,C18,1000,3,3,0,0,1,6,10
9,A1,CNAT,11012021,EC,C18,1000,4,3,0,0,0,7,10
9,A2,CNAT,11012021,EH,HLB,100,4,4,0,0,0,6,10
9,A3,CNAT,11012021,EP,PPL,100,4,4,0,0,0,5,9
9,B1,CNAT,11012021,EC,C18,1000,5,3,0,0,0,7,10
9,B2,CNAT,11012021,EH,HLB,100,5,7,0,0,0,2,9
9,B3,CNAT,11012021,EP,PPL,100,5,6,0,0,0,5,11
10,A1,CNAT,11012021,EP,PPL,100,1,3,0,0,0,7,10
10,A2,CNAT,11012021,EP,PPL,100,2,4,0,0,0,6,10
10,A3,CNAT,11012021,EP,PPL,100,3,9,0,0,0,0,9
10,B1,CNAT,11012021,EH,HLB,100,1,8,0,0,0,2,10
10,B2,CNAT,11012021,EH,HLB,100,2,6,0,0,0,4,10
10,B3,CNAT,11012021,EH,HLB,100,3,10,0,0,0,0,10
11,A1,CNAT,11012021,EC,C18,100,1,2,0,0,0,8,10
11,A2,CNAT,11012021,EC,C18,100,2,6,0,0,0,4,10
11,A3,CNAT,11012021,EC,C18,100,3,8,0,0,0,2,10
11,B1,CNAT,11012021,EP,PPL,10,1,5,0,0,0,5,10
11,B2,CNAT,11012021,EP,PPL,10,2,5,0,0,0,4,9
11,B3,CNAT,11012021,EP,PPL,10,3,7,0,0,0,2,9
12,A1,CNAT,11012021,EC,C18,100,4,6,0,0,0,4,10
12,A2,CNAT,11012021,EP,PPL,10,4,6,0,0,1,3,10
12,A3,CNAT,11012021,EH,HLB,10,4,9,0,0,0,1,10
12,B1,CNAT,11012021,EC,C18,100,5,6,0,0,0,4,10
12,B2,CNAT,11012021,EP,PPL,10,5,5,0,0,0,5,10
12,B3,CNAT,11012021,EH,HLB,10,5,7,0,0,0,3,10
13,A1,CNAT,11012021,EH,HLB,10,1,6,0,0,0,4,10
13,A2,CNAT,11012021,EH,HLB,10,2,5,0,0,0,3,8
13,A3,CNAT,11012021,EH,HLB,10,3,8,0,0,0,2,10
13,B1,CNAT,11012021,EC,C18,10,1,10,0,0,0,0,10
13,B2,CNAT,11012021,EC,C18,10,2,8,0,0,0,2,10
13,B3,CNAT,11012021,EC,C18,10,3,5,0,0,0,5,10
14,A1,CNAT,11012021,EC,C18,10,4,6,0,0,0,4,10
14,B1,CNAT,11012021,EC,C18,10,5,5,0,0,2,2,9
